id,name,description,createdAt,modifiedAt,hCode,hLevel,typeCode,typeName,subTypeCode,subTypeName,dateIn,dateOut,hospitalHI,createdById,createdByName,modifiedById,modifiedByName,assignedUserId,assignedUserName,provinceId,provinceName
5fa10d759726cc8a3,"คณะแพทย์ศาสตร์ จุฬาลงกรณ์",,"2020-11-03 07:57:41","2022-12-07 21:04:39",19506,36,0012,"รัฐนอก สธ.",001201,สังกัดกรุงเทพมหานคร,2009-04-27,,,1,Admin,system,System,,,5fa0e2c547a4253f2,กรุงเทพมหานคร
5fa10d76696467ec3," ราชเทวีคลินิกเวชกรรม (สาขาหาดใหญ่)",,"2020-11-03 07:57:42","2021-05-18 02:25:40",19974,36,0013,เอกชน,001305,"คลินิก (เอกชน)",2009-04-27,,,1,Admin,system,System,,,5fa0e2c547a4253f2,กรุงเทพมหานคร
5fa10d771881e33dc,คลินิกแพทย์บางหว้า,,"2020-11-03 07:57:43","2022-12-07 21:04:57",20058,36,0013,เอกชน,001305,"คลินิก (เอกชน)",2009-04-27,,,1,Admin,system,System,,,5fa0e2c547a4253f2,กรุงเทพมหานคร
5fa10d771a64d06c2,คลินิกชุมชนประชาอุทิศ,,"2020-11-03 07:57:43","2022-12-07 21:04:57",20060,36,0013,เอกชน,001305,"คลินิก (เอกชน)",2009-04-27,,,1,Admin,system,System,,,5fa0e2c547a4253f2,กรุงเทพมหานคร
5fa10d771c51f5c6f,นวลจันทร์คลินิกเวชกรรม,,"2020-11-03 07:57:43","2022-12-07 21:04:57",20061,36,0013,เอกชน,001305,"คลินิก (เอกชน)",2009-04-27,,,1,Admin,system,System,,,5fa0e2c547a4253f2,กรุงเทพมหานคร
5fa10d771e38f223f,ทิฆัณพรคลินิก,,"2020-11-03 07:57:43","2022-12-07 21:04:57",20062,36,0013,เอกชน,001305,"คลินิก (เอกชน)",2009-04-27,,,1,Admin,system,System,,,5fa0e2c547a4253f2,กรุงเทพมหานคร
5fa10d7720329fd67,คลินิกไพโรจน์การแพทย์,,"2020-11-03 07:57:43","2022-12-07 21:04:57",20063,36,0013,เอกชน,001305,"คลินิก (เอกชน)",2009-04-27,,,1,Admin,system,System,,,5fa0e2c547a4253f2,กรุงเทพมหานคร
5fa10d77220d4b2d8,"ราชเทวีคลินิกเวชกรรม (สาขาบางแค)",,"2020-11-03 07:57:43","2020-12-22 08:59:30",20066,1,0013,เอกชน,001305,"คลินิก (เอกชน)",,,,1,Admin,system,System,,,5fa0e2c547a4253f2,กรุงเทพมหานคร
5fa10d772408e65e4,เวชสิทธิ์คลินิก,,"2020-11-03 07:57:43","2022-12-07 21:04:57",20067,36,0013,เอกชน,001305,"คลินิก (เอกชน)",2009-04-27,,,1,Admin,system,System,,,5fa0e2c547a4253f2,กรุงเทพมหานคร
5fa10d77260494893,คลินิกสุทัศน์การแพทย์,,"2020-11-03 07:57:43","2022-12-07 21:04:57",20071,36,0013,เอกชน,001305,"คลินิก (เอกชน)",2009-04-27,,,1,Admin,system,System,,,5fa0e2c547a4253f2,กรุงเทพมหานคร
5fa10d7727f5c2a81,สุพจน์คลินิกเวชกรรม,,"2020-11-03 07:57:43","2022-12-07 21:04:57",20073,36,0013,เอกชน,001305,"คลินิก (เอกชน)",2009-04-27,,,1,Admin,system,System,,,5fa0e2c547a4253f2,กรุงเทพมหานคร
